"date","adjusted"
1992-01-31,3223.399902
1992-02-29,3267.699951
1992-03-31,3235.5
1992-04-30,3359.100098
1992-05-31,3396.899902
1992-06-30,3318.5
1992-07-31,3393.800049
1992-08-31,3257.399902
1992-09-30,3271.699951
1992-10-31,3226.300049
1992-11-30,3305.199951
1992-12-31,3301.110107
1993-01-31,3310
1993-02-28,3370.810059
1993-03-31,3435.110107
1993-04-30,3427.550049
1993-05-31,3527.429932
1993-06-30,3516.080078
1993-07-31,3539.469971
1993-08-31,3651.25
1993-09-30,3555.120117
1993-10-31,3680.590088
1993-11-30,3683.949951
1993-12-31,3754.090088
1994-01-31,3978.360107
1994-02-28,3832.02002
1994-03-31,3635.959961
1994-04-30,3681.689941
1994-05-31,3758.370117
1994-06-30,3624.959961
1994-07-31,3764.5
1994-08-31,3913.419922
1994-09-30,3843.189941
1994-10-31,3908.120117
1994-11-30,3739.22998
1994-12-31,3834.439941
1995-01-31,3843.860107
1995-02-28,4011.050049
1995-03-31,4157.689941
1995-04-30,4321.27002
1995-05-31,4465.140137
1995-06-30,4556.100098
1995-07-31,4708.470215
1995-08-31,4610.560059
1995-09-30,4789.080078
1995-10-31,4755.47998
1995-11-30,5074.490234
1995-12-31,5117.120117
1996-01-31,5395.299805
1996-02-29,5485.620117
1996-03-31,5587.140137
1996-04-30,5569.080078
1996-05-31,5643.180176
1996-06-30,5654.629883
1996-07-31,5528.910156
1996-08-31,5616.209961
1996-09-30,5882.169922
1996-10-31,6029.379883
1996-11-30,6521.700195
1996-12-31,6448.27002
1997-01-31,6813.089844
1997-02-28,6877.740234
1997-03-31,6583.47998
1997-04-30,7009
1997-05-31,7331
1997-06-30,7672.799805
1997-07-31,8222.599609
1997-08-31,7622.399902
1997-09-30,7945.299805
1997-10-31,7442.100098
1997-11-30,7823.100098
1997-12-31,7908.299805
1998-01-31,7906.5
1998-02-28,8545.719727
1998-03-31,8799.80957
1998-04-30,9063.370117
1998-05-31,8899.950195
1998-06-30,8952.019531
1998-07-31,8883.290039
1998-08-31,7539.069824
1998-09-30,7842.620117
1998-10-31,8592.099609
1998-11-30,9116.549805
1998-12-31,9181.429688
1999-01-31,9358.830078
1999-02-28,9306.580078
1999-03-31,9786.160156
1999-04-30,10789.040039
1999-05-31,10559.740234
1999-06-30,10970.799805
1999-07-31,10655.150391
1999-08-31,10829.280273
1999-09-30,10336.950195
1999-10-31,10729.860352
1999-11-30,10877.80957
1999-12-31,11497.120117
2000-01-31,10940.530273
2000-02-29,10128.30957
2000-03-31,10921.919922
2000-04-30,10733.910156
2000-05-31,10522.330078
2000-06-30,10447.889648
2000-07-31,10521.980469
2000-08-31,11215.099609
2000-09-30,10650.919922
2000-10-31,10971.139648
2000-11-30,10414.490234
2000-12-31,10787.990234
2001-01-31,10887.360352
2001-02-28,10495.280273
2001-03-31,9878.780273
2001-04-30,10734.969727
2001-05-31,10911.94043
2001-06-30,10502.400391
2001-07-31,10522.80957
2001-08-31,9949.75
2001-09-30,8847.55957
2001-10-31,9075.139648
2001-11-30,9851.55957
2001-12-31,10021.570313
2002-01-31,9920
2002-02-28,10106.129883
2002-03-31,10403.94043
2002-04-30,9946.219727
2002-05-31,9925.25
2002-06-30,9243.259766
2002-07-31,8736.589844
2002-08-31,8663.5
2002-09-30,7591.930176
2002-10-31,8397.030273
2002-11-30,8896.089844
2002-12-31,8341.629883
2003-01-31,8053.810059
2003-02-28,7891.080078
2003-03-31,7992.129883
2003-04-30,8480.089844
2003-05-31,8850.259766
2003-06-30,8985.44043
2003-07-31,9233.799805
2003-08-31,9415.820313
2003-09-30,9275.05957
2003-10-31,9801.120117
2003-11-30,9782.459961
2003-12-31,10453.919922
2004-01-31,10488.070313
2004-02-29,10583.919922
2004-03-31,10357.700195
2004-04-30,10225.570313
2004-05-31,10188.450195
2004-06-30,10435.480469
2004-07-31,10139.709961
2004-08-31,10173.919922
2004-09-30,10080.269531
2004-10-31,10027.469727
2004-11-30,10428.019531
2004-12-31,10783.009766
2005-01-31,10489.94043
2005-02-28,10766.230469
2005-03-31,10503.759766
2005-04-30,10192.509766
2005-05-31,10467.480469
2005-06-30,10274.969727
2005-07-31,10640.910156
2005-08-31,10481.599609
2005-09-30,10568.700195
2005-10-31,10440.070313
2005-11-30,10805.870117
2005-12-31,10717.5
2006-01-31,10864.860352
2006-02-28,10993.410156
2006-03-31,11109.320313
2006-04-30,11367.139648
2006-05-31,11168.30957
2006-06-30,11150.219727
2006-07-31,11185.679688
2006-08-31,11381.150391
2006-09-30,11679.070313
2006-10-31,12080.730469
2006-11-30,12221.929688
2006-12-31,12463.150391
2007-01-31,12621.69043
2007-02-28,12268.629883
2007-03-31,12354.349609
2007-04-30,13062.910156
2007-05-31,13627.639648
2007-06-30,13408.620117
2007-07-31,13211.990234
2007-08-31,13357.740234
2007-09-30,13895.629883
2007-10-31,13930.009766
2007-11-30,13371.719727
2007-12-31,13264.820313
2008-01-31,12650.360352
2008-02-29,12266.389648
2008-03-31,12262.889648
2008-04-30,12820.129883
2008-05-31,12638.320313
2008-06-30,11350.009766
2008-07-31,11378.019531
2008-08-31,11543.959961
2008-09-30,10850.660156
2008-10-31,9325.009766
2008-11-30,8829.040039
2008-12-31,8776.389648
2009-01-31,8000.859863
2009-02-28,7062.930176
2009-03-31,7608.919922
2009-04-30,8168.120117
2009-05-31,8500.330078
2009-06-30,8447
2009-07-31,9171.610352
2009-08-31,9496.280273
2009-09-30,9712.280273
2009-10-31,9712.730469
2009-11-30,10344.839844
2009-12-31,10428.049805
2010-01-31,10067.330078
2010-02-28,10325.259766
2010-03-31,10856.629883
2010-04-30,11008.610352
2010-05-31,10136.629883
2010-06-30,9774.019531
2010-07-31,10465.94043
2010-08-31,10014.719727
2010-09-30,10788.049805
2010-10-31,11118.490234
2010-11-30,11006.019531
2010-12-31,11577.509766
2011-01-31,11891.929688
2011-02-28,12226.339844
2011-03-31,12319.730469
2011-04-30,12810.540039
2011-05-31,12569.790039
2011-06-30,12414.339844
2011-07-31,12143.240234
2011-08-31,11613.530273
2011-09-30,10913.379883
2011-10-31,11955.009766
2011-11-30,12045.679688
2011-12-31,12217.55957
2012-01-31,12632.910156
2012-02-29,12952.070313
2012-03-31,13212.040039
2012-04-30,13213.629883
2012-05-31,12393.450195
2012-06-30,12880.089844
2012-07-31,13008.679688
2012-08-31,13090.839844
2012-09-30,13437.129883
2012-10-31,13096.459961
2012-11-30,13025.580078
2012-12-31,13104.139648
2013-01-31,13860.580078
2013-02-28,14054.490234
2013-03-31,14578.540039
2013-04-30,14839.799805
2013-05-31,15115.570313
2013-06-30,14909.599609
2013-07-31,15499.540039
2013-08-31,14810.30957
2013-09-30,15129.669922
2013-10-31,15545.75
2013-11-30,16086.410156
2013-12-31,16576.660156
2014-01-31,15698.849609
2014-02-28,16321.709961
2014-03-31,16457.660156
2014-04-30,16580.839844
2014-05-31,16717.169922
2014-06-30,16826.599609
2014-07-31,16563.300781
2014-08-31,17098.449219
2014-09-30,17042.900391
2014-10-31,17390.519531
2014-11-30,17828.240234
2014-12-31,17823.070313
2015-01-31,17164.949219
2015-02-28,18132.699219
2015-03-31,17776.119141
