"date","adjusted"
1992-01-03,3201.5
1992-01-10,3199.5
1992-01-17,3265
1992-01-24,3232.800049
1992-01-31,3223.399902
1992-02-07,3225.399902
1992-02-14,3246
1992-02-21,3280.199951
1992-02-28,3267.699951
1992-03-06,3221.600098
1992-03-13,3235.899902
1992-03-20,3276.399902
1992-03-27,3231.399902
1992-04-03,3249.100098
1992-04-10,3255.399902
1992-04-16,3366.5
1992-04-24,3324.5
1992-05-01,3336.100098
1992-05-08,3369.399902
1992-05-15,3353.100098
1992-05-22,3386.800049
1992-05-29,3396.899902
1992-06-05,3398.699951
1992-06-12,3354.399902
1992-06-19,3285.399902
1992-06-26,3282.399902
1992-07-02,3330.300049
1992-07-10,3330.600098
1992-07-17,3331.600098
1992-07-24,3285.699951
1992-07-31,3393.800049
1992-08-07,3332.199951
1992-08-14,3328.899902
1992-08-21,3254.100098
1992-08-28,3267.600098
1992-09-04,3281.899902
1992-09-11,3305.699951
1992-09-18,3327.100098
1992-09-25,3250.300049
1992-10-02,3200.600098
1992-10-09,3136.600098
1992-10-16,3174.399902
1992-10-23,3207.600098
1992-10-30,3226.300049
1992-11-06,3240.100098
1992-11-13,3233
1992-11-20,3227.399902
1992-11-27,3282.199951
1992-12-04,3288.699951
1992-12-11,3304.100098
1992-12-18,3313.300049
1992-12-24,3326.199951
1992-12-31,3301.110107
1993-01-08,3251.699951
1993-01-15,3271.100098
1993-01-22,3256.800049
1993-01-29,3310
1993-02-05,3442.100098
1993-02-12,3392.429932
1993-02-19,3322.179932
1993-02-26,3370.810059
1993-03-05,3404.580078
1993-03-12,3427.820068
1993-03-19,3471.580078
1993-03-26,3439.97998
1993-04-02,3370.810059
1993-04-08,3396.47998
1993-04-16,3478.610107
1993-04-23,3413.77002
1993-04-30,3427.550049
1993-05-07,3437.189941
1993-05-14,3443.01001
1993-05-21,3492.830078
1993-05-28,3527.429932
1993-06-04,3545.139893
1993-06-11,3505.01001
1993-06-18,3494.77002
1993-06-25,3490.889893
1993-07-02,3483.969971
1993-07-09,3521.060059
1993-07-16,3528.290039
1993-07-23,3546.73999
1993-07-30,3539.469971
1993-08-06,3560.429932
1993-08-13,3569.649902
1993-08-20,3615.47998
1993-08-27,3640.629883
1993-09-03,3633.929932
1993-09-10,3621.629883
1993-09-17,3613.25
1993-09-24,3543.110107
1993-10-01,3581.110107
1993-10-08,3584.73999
1993-10-15,3629.72998
1993-10-22,3649.300049
1993-10-29,3680.590088
