"date","adjusted"
1985-01-31,179.630005
1985-02-28,181.179993
1985-03-31,180.660004
1985-04-30,179.830002
1985-05-31,189.550003
1985-06-30,191.850006
1985-07-31,190.919998
1985-08-31,188.630005
1985-09-30,182.080002
1985-10-31,189.820007
1985-11-30,202.169998
1985-12-31,211.279999
1986-01-31,211.779999
1986-02-28,226.919998
1986-03-31,238.899994
1986-04-30,235.520004
1986-05-31,247.350006
1986-06-30,250.839996
1986-07-31,236.119995
1986-08-31,252.929993
1986-09-30,231.320007
1986-10-31,243.979996
1986-11-30,249.220001
1986-12-31,242.169998
1987-01-31,274.079987
1987-02-28,284.200012
1987-03-31,291.700012
1987-04-30,288.359985
1987-05-31,290.100006
1987-06-30,304
1987-07-31,318.660004
1987-08-31,329.799988
1987-09-30,321.829987
1987-10-31,251.789993
1987-11-30,230.300003
1987-12-31,247.080002
1988-01-31,257.070007
1988-02-29,267.820007
1988-03-31,258.890015
1988-04-30,261.329987
1988-05-31,262.160004
1988-06-30,273.5
1988-07-31,272.019989
1988-08-31,261.519989
1988-09-30,271.910004
1988-10-31,278.970001
1988-11-30,273.700012
1988-12-31,277.720001
1989-01-31,297.470001
1989-02-28,288.859985
1989-03-31,294.869995
1989-04-30,309.640015
1989-05-31,320.519989
1989-06-30,317.980011
1989-07-31,346.079987
1989-08-31,351.450012
1989-09-30,349.149994
1989-10-31,340.359985
1989-11-30,345.98999
1989-12-31,353.399994
1990-01-31,329.079987
1990-02-28,331.890015
1990-03-31,339.940002
1990-04-30,330.799988
1990-05-31,361.230011
1990-06-30,358.019989
1990-07-31,356.149994
1990-08-31,322.559998
1990-09-30,306.049988
1990-10-31,304
1990-11-30,322.220001
1990-12-31,330.220001
1991-01-31,343.929993
1991-02-28,367.070007
1991-03-31,375.220001
1991-04-30,375.339996
1991-05-31,389.829987
1991-06-30,371.160004
1991-07-31,387.809998
1991-08-31,395.429993
1991-09-30,387.859985
1991-10-31,392.450012
1991-11-30,375.220001
1991-12-31,417.089996
1992-01-31,408.779999
1992-02-29,412.700012
1992-03-31,403.690002
1992-04-30,414.950012
1992-05-31,415.350006
1992-06-30,408.140015
1992-07-31,424.209991
1992-08-31,414.029999
1992-09-30,417.799988
1992-10-31,418.679993
1992-11-30,431.350006
1992-12-31,435.709991
1993-01-31,438.779999
1993-02-28,443.380005
1993-03-31,451.670013
1993-04-30,440.190002
1993-05-31,450.190002
1993-06-30,450.529999
1993-07-31,448.130005
1993-08-31,463.559998
1993-09-30,458.929993
1993-10-31,467.829987
1993-11-30,461.790009
1993-12-31,466.450012
1994-01-31,481.609985
1994-02-28,467.140015
1994-03-31,445.769989
1994-04-30,450.910004
1994-05-31,456.5
1994-06-30,444.269989
1994-07-31,458.26001
1994-08-31,475.48999
1994-09-30,462.709991
1994-10-31,472.350006
1994-11-30,453.690002
1994-12-31,459.269989
1995-01-31,470.420013
1995-02-28,487.390015
1995-03-31,500.709991
1995-04-30,514.710022
1995-05-31,533.400024
1995-06-30,544.75
