"date","adjusted"
1986-12-31,2568.300049
1987-01-31,2553.300049
1987-02-28,2877.899902
1987-03-31,2713.800049
1987-04-30,2659.899902
1987-05-31,2950.800049
1987-06-30,3178.199951
1987-07-31,3479.199951
1987-08-31,3611.699951
1987-09-30,3943.600098
1987-10-31,2204.5
1987-11-30,2138.399902
1987-12-31,2302.800049
1988-01-31,2409.699951
1988-02-29,2418.100098
1988-03-31,2544
1988-04-30,2602.899902
1988-05-31,2496.699951
1988-06-30,2671.5
1988-07-31,2678.899902
1988-08-31,2443.800049
1988-09-30,2441
1988-10-31,2627.399902
1988-11-30,2659.300049
1988-12-31,2687.399902
1989-01-31,3072.899902
1989-02-28,3012.699951
1989-03-31,3005
1989-04-30,3116
1989-05-31,2743.899902
1989-06-30,2273.899902
1989-07-31,2571.100098
1989-08-31,2508.600098
1989-09-30,2758.199951
1989-10-31,2725.300049
1989-11-30,2748.399902
1989-12-31,2836.600098
1990-01-31,2751.600098
1990-02-28,2952
1990-03-31,2997
1990-04-30,2951
1990-05-31,3132
1990-06-30,3278
1990-07-31,3438
1990-08-31,3087
1990-09-30,2760
1990-10-31,2990
1990-11-30,2965
1990-12-31,3024
1991-01-31,3243
1991-02-28,3552
1991-03-31,3745
1991-04-30,3588
1991-05-31,3707
1991-06-30,3668
1991-07-31,4009
1991-08-31,3998
1991-09-30,3956.699951
1991-10-31,4038.699951
1991-11-30,4149.799805
1991-12-31,4297.299805
1992-01-31,4601.799805
1992-02-29,4929.100098
1992-03-31,4938.299805
1992-04-30,5369.600098
1992-05-31,6080.200195
1992-06-30,6103.899902
1992-07-31,5881.100098
1992-08-31,5628.600098
1992-09-30,5505.399902
1992-10-31,6190.700195
1992-11-30,5810.600098
1992-12-31,5512.399902
1993-01-31,5751.399902
1993-02-28,6352
1993-03-31,6388.899902
1993-04-30,6830.5
1993-05-31,7372.200195
1993-06-30,7099.299805
1993-07-31,6989
1993-08-31,7549.700195
1993-09-30,7676.200195
1993-10-31,9329.099609
1993-11-30,9125.200195
1993-12-31,11888.400391
1994-01-31,11487
1994-02-28,10410.200195
1994-03-31,9029.900391
1994-04-30,8966.099609
1994-05-31,9553.599609
1994-06-30,8758.400391
1994-07-31,9482.799805
1994-08-31,9929.400391
1994-09-30,9521.200195
1994-10-31,9646.299805
1994-11-30,8466.299805
1994-12-31,8191
1995-01-31,7342.700195
1995-02-28,8327.5
1995-03-31,8587.700195
1995-04-30,8361
1995-05-31,9407.400391
1995-06-30,9206.5
1995-07-31,9453.400391
1995-08-31,9179.900391
1995-09-30,9646.299805
1995-10-31,9782.400391
1995-11-30,9813.299805
1995-12-31,10073.400391
1996-01-31,11359.700195
1996-02-29,11125.700195
1996-03-31,10957.200195
1996-04-30,10964.5
1996-05-31,11264.700195
1996-06-30,11020.900391
1996-07-31,10681.400391
1996-08-31,11159
1996-09-30,11902.400391
1996-10-31,12477.599609
1996-11-30,13393.900391
1996-12-31,13451.5
1997-01-31,13321.799805
1997-02-28,13398.700195
1997-03-31,12534.299805
1997-04-30,12903.299805
1997-05-31,14757.799805
1997-06-30,15196.799805
1997-07-31,16365.700195
1997-08-31,14135.200195
1997-09-30,15049.299805
1997-10-31,10623.799805
1997-11-30,10526.900391
1997-12-31,10722.799805
1998-01-31,9252.400391
1998-02-28,11480.700195
1998-03-31,11518.700195
1998-04-30,10383.679688
1998-05-31,8934.55957
1998-06-30,8543.099609
1998-07-31,7936.200195
1998-08-31,7275.040039
1998-09-30,7883.459961
1998-10-31,10154.94043
1998-11-30,10402.320313
1998-12-31,10048.580078
1999-01-31,9506.900391
1999-02-28,9858.490234
1999-03-31,10942.200195
1999-04-30,13333.200195
1999-05-31,12147.120117
1999-06-30,13532.139648
1999-07-31,13186.860352
1999-08-31,13482.769531
1999-09-30,12733.240234
1999-10-31,13256.950195
1999-11-30,15377.19043
1999-12-31,16962.099609
2000-01-31,15532.339844
2000-02-29,17169.439453
2000-03-31,17406.539063
2000-04-30,15519.299805
2000-05-31,14713.860352
2000-06-30,16155.780273
2000-07-31,16840.980469
2000-08-31,17097.509766
2000-09-30,15648.980469
2000-10-31,14895.339844
2000-11-30,13984.389648
2000-12-31,15095.530273
2001-01-31,16102.349609
2001-02-28,14787.870117
2001-03-31,12760.639648
2001-04-30,13386.040039
2001-05-31,13174.410156
2001-06-30,13042.530273
2001-07-31,12316.69043
2001-08-31,11090.480469
2001-09-30,9950.700195
2001-10-31,10073.969727
2001-11-30,11279.25
2001-12-31,11397.209961
2002-01-31,10725.299805
2002-02-28,10482.549805
2002-03-31,11032.919922
2002-04-30,11497.580078
2002-05-31,11301.94043
2002-06-30,10598.549805
