"date","adjusted"
1985-01-31,11992.30957
1985-02-28,12321.919922
1985-03-31,12580.759766
1985-04-30,12426.290039
1985-05-31,12758.459961
1985-06-30,12882.089844
1985-07-31,12232.269531
1985-08-31,12713.150391
1985-09-30,12700.110352
1985-10-31,12936.469727
1985-11-30,12763.269531
1985-12-31,13083.179688
1986-01-31,13024.299805
1986-02-28,13640.830078
1986-03-31,15859.75
1986-04-30,15825.5
1986-05-31,16670.769531
1986-06-30,17654.189453
1986-07-31,17509.710938
1986-08-31,18533.679688
1986-09-30,17852.859375
1986-10-31,16910.630859
1986-11-30,18083.019531
1986-12-31,18820.650391
1987-01-31,20048.349609
1987-02-28,20421.660156
1987-03-31,21566.660156
1987-04-30,23274.830078
1987-05-31,24772.390625
1987-06-30,24176.400391
1987-07-31,24488.109375
1987-08-31,26029.220703
1987-09-30,26010.880859
1987-10-31,22765.039063
1987-11-30,22686.779297
1987-12-31,21564
1988-01-31,23622.320313
1988-02-29,25242.810547
1988-03-31,26260.259766
1988-04-30,27434.119141
1988-05-31,27416.699219
1988-06-30,27769.400391
1988-07-31,27911.630859
1988-08-31,27365.949219
1988-09-30,27923.669922
1988-10-31,27982.539063
1988-11-30,29578.900391
1988-12-31,30159
1989-01-31,31581.300781
1989-02-28,31985.599609
1989-03-31,32838.679688
1989-04-30,33713.351563
1989-05-31,34266.75
1989-06-30,32948.691406
1989-07-31,34953.871094
1989-08-31,34431.199219
1989-09-30,35636.761719
1989-10-31,35549.441406
1989-11-30,37268.789063
1989-12-31,38915.871094
1990-01-31,37188.949219
1990-02-28,34591.988281
1990-03-31,29980.449219
1990-04-30,29584.800781
1990-05-31,33130.800781
1990-06-30,31940.240234
1990-07-31,31035.660156
1990-08-31,25978.369141
1990-09-30,20983.5
1990-10-31,25194.099609
1990-11-30,22454.630859
1990-12-31,23848.710938
1991-01-31,23293.140625
1991-02-28,26409.220703
1991-03-31,26292.039063
1991-04-30,26111.25
1991-05-31,25789.619141
1991-06-30,23290.960938
1991-07-31,24120.75
1991-08-31,22335.869141
1991-09-30,23916.439453
1991-10-31,25222.279297
1991-11-30,22687.349609
1991-12-31,22983.769531
1992-01-31,22023.050781
1992-02-29,21338.810547
1992-03-31,19345.949219
1992-04-30,17390.710938
1992-05-31,18347.75
1992-06-30,15951.730469
1992-07-31,15910.280273
1992-08-31,18061.119141
1992-09-30,17399.080078
1992-10-31,16767.400391
1992-11-30,17683.650391
1992-12-31,16924.949219
1993-01-31,17023.779297
1993-02-28,16953.349609
1993-03-31,18591.449219
1993-04-30,20919.179688
1993-05-31,20552.349609
1993-06-30,19590
1993-07-31,20380.140625
1993-08-31,21026.599609
1993-09-30,20105.710938
1993-10-31,19702.970703
1993-11-30,16406.539063
1993-12-31,17417.240234
1994-01-31,20229.119141
1994-02-28,19997.199219
1994-03-31,19111.919922
1994-04-30,19725.25
1994-05-31,20973.589844
1994-06-30,20643.929688
1994-07-31,20449.390625
1994-08-31,20628.529297
1994-09-30,19563.810547
1994-10-31,19989.599609
1994-11-30,19075.619141
1994-12-31,19723.060547
1995-01-31,18649.820313
1995-02-28,17053.429688
1995-03-31,16139.950195
1995-04-30,16806.75
1995-05-31,15436.790039
1995-06-30,14517.400391
1995-07-31,16677.529297
1995-08-31,18117.220703
1995-09-30,17913.060547
1995-10-31,17654.640625
1995-11-30,18744.419922
1995-12-31,19868.150391
1996-01-31,20812.740234
1996-02-29,20125.369141
1996-03-31,21406.849609
1996-04-30,22041.300781
1996-05-31,21956.189453
1996-06-30,22530.75
1996-07-31,20692.830078
1996-08-31,20166.900391
1996-09-30,21556.400391
1996-10-31,20466.859375
1996-11-30,21020.359375
1996-12-31,19361.349609
1997-01-31,18330.009766
1997-02-28,18557
1997-03-31,18003.400391
1997-04-30,19151.119141
1997-05-31,20068.810547
1997-06-30,20604.960938
1997-07-31,20331.429688
1997-08-31,18229.419922
1997-09-30,17887.710938
1997-10-31,16458.939453
1997-11-30,16636.259766
1997-12-31,15258.740234
1998-01-31,16628.470703
1998-02-28,16831.669922
1998-03-31,16527.169922
1998-04-30,15641.259766
1998-05-31,15670.780273
1998-06-30,15830.269531
1998-07-31,16378.969727
1998-08-31,14107.889648
1998-09-30,13406.389648
1998-10-31,13564.509766
1998-11-30,14883.700195
1998-12-31,13842.169922
1999-01-31,14499.25
1999-02-28,14367.540039
1999-03-31,15836.589844
1999-04-30,16701.529297
1999-05-31,16111.650391
1999-06-30,17529.740234
1999-07-31,17861.859375
1999-08-31,17436.560547
1999-09-30,17605.460938
1999-10-31,17942.080078
1999-11-30,18558.230469
1999-12-31,18934.339844
2000-01-31,19539.699219
2000-02-29,19959.519531
2000-03-31,20337.320313
2000-04-30,17973.699219
2000-05-31,16332.450195
2000-06-30,17411.050781
2000-07-31,15727.490234
2000-08-31,16861.259766
2000-09-30,15747.259766
2000-10-31,14539.599609
2000-11-30,14648.509766
2000-12-31,13785.69043
2001-01-31,13843.549805
2001-02-28,12883.540039
2001-03-31,12999.700195
2001-04-30,13934.320313
2001-05-31,13262.139648
2001-06-30,12969.049805
2001-07-31,11860.769531
2001-08-31,10713.509766
2001-09-30,9774.679688
2001-10-31,10366.339844
2001-11-30,10697.44043
2001-12-31,10542.620117
2002-01-31,9997.799805
2002-02-28,10587.830078
2002-03-31,11024.94043
2002-04-30,11492.540039
2002-05-31,11763.700195
2002-06-30,10621.839844
2002-07-31,9877.94043
2002-08-31,9619.299805
2002-09-30,9383.290039
2002-10-31,8640.480469
2002-11-30,9215.55957
2002-12-31,8578.950195
2003-01-31,8339.94043
2003-02-28,8363.040039
2003-03-31,7972.709961
2003-04-30,7831.419922
2003-05-31,8424.509766
2003-06-30,9083.110352
2003-07-31,9563.209961
2003-08-31,10343.549805
2003-09-30,10219.049805
2003-10-31,10559.589844
2003-11-30,10100.570313
2003-12-31,10676.639648
2004-01-31,10783.610352
2004-02-29,11041.919922
2004-03-31,11715.389648
2004-04-30,11761.790039
2004-05-31,11236.370117
2004-06-30,11858.870117
2004-07-31,11325.780273
2004-08-31,11081.790039
2004-09-30,10823.570313
2004-10-31,10771.419922
2004-11-30,10899.25
2004-12-31,11488.759766
2005-01-31,11387.589844
2005-02-28,11740.599609
2005-03-31,11668.950195
2005-04-30,11008.900391
2005-05-31,11276.589844
2005-06-30,11584.009766
2005-07-31,11899.599609
2005-08-31,12413.599609
2005-09-30,13574.299805
2005-10-31,13606.5
2005-11-30,14872.150391
2005-12-31,16111.429688
2006-01-31,16649.820313
2006-02-28,16205.429688
2006-03-31,17059.660156
2006-04-30,16906.230469
2006-05-31,15467.330078
2006-06-30,15505.179688
2006-07-31,15456.80957
2006-08-31,16140.759766
2006-09-30,16127.580078
2006-10-31,16399.390625
2006-11-30,16274.330078
2006-12-31,17225.830078
2007-01-31,17383.419922
2007-02-28,17604.119141
2007-03-31,17287.650391
2007-04-30,17400.410156
2007-05-31,17875.75
2007-06-30,18138.359375
2007-07-31,17248.890625
2007-08-31,16569.089844
2007-09-30,16785.689453
2007-10-31,16737.630859
2007-11-30,15680.669922
2007-12-31,15307.780273
2008-01-31,13592.469727
2008-02-29,13603.019531
2008-03-31,12525.540039
2008-04-30,13849.990234
2008-05-31,14338.540039
2008-06-30,13481.379883
2008-07-31,13376.80957
2008-08-31,13072.870117
2008-09-30,11259.860352
2008-10-31,8576.980469
2008-11-30,8512.269531
2008-12-31,8859.55957
2009-01-31,7994.049805
2009-02-28,7568.419922
2009-03-31,8109.529785
2009-04-30,8828.259766
2009-05-31,9522.5
2009-06-30,9958.44043
2009-07-31,10356.830078
2009-08-31,10492.530273
2009-09-30,10133.230469
2009-10-31,10034.740234
2009-11-30,9345.549805
2009-12-31,10546.44043
2010-01-31,10198.040039
2010-02-28,10126.030273
2010-03-31,11089.94043
2010-04-30,11057.400391
2010-05-31,9768.700195
2010-06-30,9382.639648
2010-07-31,9537.299805
2010-08-31,8824.05957
2010-09-30,9369.349609
2010-10-31,9202.450195
2010-11-30,9937.040039
2010-12-31,10228.919922
2011-01-31,10237.919922
2011-02-28,10624.089844
2011-03-31,9755.099609
2011-04-30,9849.740234
2011-05-31,9693.730469
2011-06-30,9816.089844
2011-07-31,9833.030273
2011-08-31,8955.200195
2011-09-30,8700.290039
2011-10-31,8988.389648
2011-11-30,8434.610352
2011-12-31,8455.349609
2012-01-31,8802.509766
2012-02-29,9723.240234
2012-03-31,10083.55957
2012-04-30,9520.889648
2012-05-31,8542.730469
2012-06-30,9006.780273
2012-07-31,8695.05957
2012-08-31,8839.910156
2012-09-30,8870.160156
2012-10-31,8928.290039
2012-11-30,9446.009766
2012-12-31,10395.179688
2013-01-31,11138.660156
2013-02-28,11559.360352
2013-03-31,12397.910156
2013-04-30,13860.860352
2013-05-31,13774.540039
2013-06-30,13677.320313
2013-07-31,13668.320313
2013-08-31,13388.860352
2013-09-30,14455.799805
2013-10-31,14327.94043
2013-11-30,15661.870117
2013-12-31,16291.30957
2014-01-31,14914.530273
2014-02-28,14841.070313
2014-03-31,14827.830078
2014-04-30,14304.110352
2014-05-31,14632.379883
2014-06-30,15162.099609
2014-07-31,15620.769531
2014-08-31,15424.589844
2014-09-30,16173.519531
2014-10-31,16413.759766
2014-11-30,17459.849609
2014-12-31,17450.769531
2015-01-31,17674.390625
2015-02-28,18797.939453
2015-03-31,19206.990234
2015-04-30,19520.009766
2015-05-31,20563.150391
