"date","adjusted"
1985-01-31,278.700012
1985-02-28,284.200012
1985-03-31,279.200012
1985-04-30,280.600006
1985-05-31,290.799988
1985-06-30,296.200012
1985-07-31,301.299988
1985-08-31,297.700012
1985-09-30,280.299988
1985-10-31,292.5
1985-11-30,314
1985-12-31,324.899994
1986-01-31,335.799988
1986-02-28,359.5
1986-03-31,374.700012
1986-04-30,383.200012
1986-05-31,400.200012
1986-06-30,405.5
1986-07-31,371.399994
1986-08-31,382.899994
1986-09-30,350.700012
1986-10-31,360.799988
1986-11-30,359.600006
1986-12-31,348.799988
1987-01-31,392.100006
1987-02-28,425
1987-03-31,430.100006
1987-04-30,417.799988
1987-05-31,416.5
1987-06-30,424.700012
1987-07-31,434.899994
1987-08-31,455
1987-09-30,444.299988
1987-10-31,323.299988
1987-11-30,305.200012
1987-12-31,330.5
1988-01-31,344.700012
1988-02-29,367
1988-03-31,374.600006
1988-04-30,379.200012
1988-05-31,370.299988
1988-06-30,394.700012
1988-07-31,387.299988
1988-08-31,376.600006
1988-09-30,387.700012
1988-10-31,382.5
1988-11-30,371.5
1988-12-31,381.399994
1989-01-31,401.299988
1989-02-28,399.700012
1989-03-31,406.700012
1989-04-30,427.600006
1989-05-31,446.200012
1989-06-30,435.299988
1989-07-31,453.799988
1989-08-31,469.299988
1989-09-30,472.899994
1989-10-31,455.600006
1989-11-30,456.100006
1989-12-31,454.799988
1990-01-31,415.799988
1990-02-28,425.799988
1990-03-31,435.5
1990-04-30,420.100006
1990-05-31,459
1990-06-30,462.299988
1990-07-31,438.200012
1990-08-31,381.200012
1990-09-30,344.5
1990-10-31,329.799988
1990-11-30,359.100006
1990-12-31,373.799988
1991-01-31,414.200012
1991-02-28,453.100006
1991-03-31,482.299988
1991-04-30,484.720001
1991-05-31,506.109985
1991-06-30,475.920013
1991-07-31,502.040009
1991-08-31,525.679993
1991-09-30,526.880005
1991-10-31,542.97998
1991-11-30,523.900024
1991-12-31,586.340027
1992-01-31,620.210022
1992-02-29,633.469971
1992-03-31,603.77002
1992-04-30,578.679993
1992-05-31,585.309998
1992-06-30,563.599976
1992-07-31,580.830017
1992-08-31,563.119995
1992-09-30,583.27002
1992-10-31,605.169983
1992-11-30,652.72998
1992-12-31,676.950012
1993-01-31,696.340027
1993-02-28,670.77002
